Ticket,Open Time,Close Time,Type,Symbol,Lots,Open Price,Close Price,S / L,T / P,Commission,Swap,Profit,Comment
10001,2025-01-06 08:15:00,2025-01-06 11:32:00,buy,EURUSD,0.10,1.08542,1.08721,1.08300,1.09000,-3.00,0.00,17.90,Monday setup
10002,2025-01-06 13:45:00,2025-01-06 15:20:00,sell,GBPUSD,0.05,1.27345,1.27210,0,1.26800,-1.50,0.00,6.75,No SL trade
10003,2025-01-07 09:00:00,2025-01-07 09:18:00,buy,USDJPY,0.15,142.350,142.120,0,143.000,-4.50,0.00,-34.50,Revenge trade
10004,2025-01-07 09:22:00,2025-01-07 10:05:00,sell,USDJPY,0.40,142.100,141.950,0,141.000,-12.00,0.00,-60.00,Emotional oversize
10005,2025-01-07 14:30:00,2025-01-07 16:45:00,buy,EURUSD,0.10,1.08200,1.08350,1.07950,1.08500,-3.00,0.00,15.00,Afternoon trade
10006,2025-01-08 08:30:00,2025-01-08 12:00:00,buy,GBPJPY,0.08,181.250,181.520,180.900,182.000,-2.40,0.00,21.60,London open
10007,2025-01-08 13:00:00,2025-01-08 13:45:00,sell,EURUSD,0.10,1.08400,1.08450,0,1.08100,-3.00,0.00,-5.00,Quick scalp
10008,2025-01-08 13:48:00,2025-01-08 14:20:00,buy,EURUSD,0.10,1.08460,1.08410,0,1.08700,-3.00,0.00,-5.00,Revenge after loss
10009,2025-01-09 09:15:00,2025-01-09 14:30:00,buy,XAUUSD,0.05,2025.50,2031.20,2020.00,2035.00,-2.50,0.00,28.50,Gold trade
10010,2025-01-09 10:00:00,2025-01-09 10:30:00,sell,GBPUSD,0.10,1.27100,1.27020,1.27400,1.26800,-3.00,0.00,8.00,Early exit
10011,2025-01-10 08:00:00,2025-01-10 09:45:00,buy,EURUSD,0.10,1.08100,1.08280,1.07850,1.08600,-3.00,0.00,18.00,Friday trade
10012,2025-01-10 11:00:00,2025-01-10 12:30:00,sell,USDCAD,0.08,1.36250,1.36100,1.36600,1.35800,-2.40,0.00,9.60,Afternoon
10013,2025-01-13 09:30:00,2025-01-13 11:00:00,buy,GBPUSD,0.10,1.27200,1.27380,1.26950,1.27600,-3.00,0.00,18.00,Monday momentum
10014,2025-01-13 14:00:00,2025-01-13 16:00:00,sell,EURUSD,0.10,1.08350,1.08280,1.08600,1.08050,-3.00,0.00,7.00,Afternoon sell
10015,2025-01-14 08:15:00,2025-01-14 13:45:00,buy,USDJPY,0.10,142.800,143.250,142.400,143.800,-3.00,0.00,45.00,Strong trend day
10016,2025-01-14 09:00:00,2025-01-14 09:30:00,sell,GBPUSD,0.10,1.27150,1.27220,0,1.26900,-3.00,0.00,-7.00,Failed breakout
10017,2025-01-14 09:32:00,2025-01-14 10:15:00,sell,GBPUSD,0.25,1.27230,1.27310,0,1.26800,-7.50,0.00,-20.00,Revenge oversize
10018,2025-01-15 10:00:00,2025-01-15 14:30:00,buy,EURUSD,0.10,1.08050,1.08230,1.07800,1.08500,-3.00,0.00,18.00,Midweek trend
10019,2025-01-15 11:00:00,2025-01-15 11:45:00,buy,XAUUSD,0.05,2028.00,2031.50,2024.00,2035.00,-2.50,0.00,17.50,Gold continuation
10020,2025-01-16 08:30:00,2025-01-16 12:00:00,sell,USDCAD,0.10,1.36400,1.36150,1.36700,1.35900,-3.00,0.00,25.00,CAD weakness
